epoch,split,total_loss,prediction_loss,slope_loss,slope,p,A,k_shift,w,vrmse_k_25,vrmse_k_50,vrmse_k_75,vrmse_k_100
1,train,13.851950600743294,13.839210534968027,0.12740076978774212,-0.12740068811624183,5.219429643355249,11.51551871437852,24.995420988982286,0.011631247668898082,6.7874192637883555,11.640030829644784,18.052853830703874,18.876538233907244
1,valid,396.12012642185863,395.75978277272327,3.6034377281349608,-3.6034377005662983,123.52329893349632,344.20435398671685,24.995156055543482,0.010326437591537228,137.02925900545546,336.17515006588724,485.1935787850279,624.6411475815424
2,train,14.377112593834962,14.363765165330918,0.1334742160284006,-0.13347413787112866,4.765645128621803,12.459793049811832,24.99448004389197,0.010936450480097315,5.655895715079656,12.877613266672546,17.405021287561432,21.516530249176956
2,valid,306.08239126108526,305.8141763559202,2.6821531971643973,-2.6821531646513965,146.32120244507868,227.45833759361167,24.994514244358715,0.011814426800152817,195.50746332969123,204.52760922424193,302.09352204082455,521.128107868559
3,train,11.3800477459421,11.369483815339523,0.10563922997865054,-0.10563914198333746,3.427362840531803,10.11877286694641,24.99413302080418,0.010825083854161506,4.413516347243534,7.86741719485783,16.128958017360873,17.06804370928586
3,valid,951.4852773668321,950.8445909129895,6.406854949361546,-6.406854899009553,621.6479802858539,506.45188856706386,24.990838391994075,0.011228428366101854,796.3949366279734,780.3625138557054,844.7361281824305,1381.8847796820044
4,train,13.45500265909889,13.442650049682555,0.12352599878606152,-0.12352591669433031,4.361228314781092,11.643475197285898,24.9941183357704,0.011074738378250381,5.586772669985042,10.581968172052042,14.704897609304606,22.89696179427267
4,valid,213.853852369921,213.68609930053958,1.6775278838472516,-1.6775278648725007,115.0531501283006,140.9480405464405,24.99454395751643,0.011156324266902799,138.7642514128995,224.22946263716472,178.74577930884632,313.0049056008579
5,train,11.183752627270978,11.173535969078056,0.1021662920744658,-0.10216619367559811,3.839646743141054,9.496022551297777,24.994443622061876,0.011214854999263658,5.266401218326111,8.013053417326958,12.667853195977404,18.746835989559568
5,valid,161.66623221664895,161.51935505915463,1.4687732444069068,-1.4687732129804487,55.334176491188806,137.3273684932449,24.993228321152973,0.01098580933289557,76.20008230330498,69.47276436713169,184.33976728547879,316.06480780122723
6,train,13.401229459216925,13.388903998141366,0.12325451984893666,-0.12325444095342125,4.356751963617356,11.613662891211064,24.99419988461626,0.011063605741923296,5.585063939656669,10.268498136260645,15.553094358221303,22.1489595738126
6,valid,421.93502722232324,421.5672207925378,3.6780491682011784,-3.6780491320764632,164.90696614689944,337.37527592492296,24.99318789854282,0.010491453516259184,196.71605889923205,371.4077882786107,409.6494908836799,708.4955522103038
